Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-31.22272	-51.62912	20.40639	0.0513534	0.113544	0.128606	0.706496	0.7206303	0.04946628	1.89236	0.7476653
6	-35.19966	-50.47798	15.27832	0.109719	0.0870071	0.075382	0.727892	7.910655	0.2112562	1.89236	1.910975
12	-33.74384	-49.69937	15.95554	0.141927	0.183455	0.272388	0.40223	6.803377	1.014191	0.8634716	2.127019
18	-33.08038	-53.22586	20.14548	0.227205	0.119556	0.177511	0.475728	1.610102	1.256589	0.4328986	0.1570651
24	-36.42943	-52.85903	16.42961	0.134247	0.491736	0.356182	0.0178347	4.847856	1.727335	1.507532	0.8154639
30	-39.69435	-58.66489	18.97054	0.153485	0.299368	0.532132	0.0150145	0.1860606	0.300197	1.602914	3.292823
36	-34.92562	-51.89219	16.96657	0.112484	0.45835	0.418163	0.0110036	1.213978	0.3658431	2.332813	3.273597
42	-30.46689	-50.44529	19.9784	0.092636	0.377474	0.452156	0.0777333	1.035513	0.3340622	1.71877	0.814543
48	-35.43061	-50.65442	15.22381	0.0996037	0.688092	0.174997	0.0373072	3.118549	0.7128947	2.732454	2.253221
54	-33.66148	-50.02078	16.3593	0.135913	0.0752633	0.427216	0.361607	2.147249	0.8047303	0.8108745	6.340277
60	-29.39565	-49.23418	19.83853	0.0295557	0.0173746	0.561803	0.391267	1.475839	0.952098	0.6009068	1.109665
66	-30.21892	-49.05875	18.83983	0.0335538	0.0572941	0.451906	0.457246	1.156917	0.5006758	0.8185398	3.321712
72	-28.95546	-49.50289	20.54743	0.114849	0.36769	0.240384	0.277078	0.6950147	1.666704	0.7658187	0.3609054
78	-29.82812	-47.63584	17.80772	0.0756151	0.242083	0.158266	0.524036	5.844485	1.098806	0.2601887	0.3976486
84	-32.65023	-46.39048	13.74025	0.0767968	0.115169	0.0163148	0.791719	13.47792	0.4659446	0.6769841	3.938583
90	-24.67222	-43.99563	19.32341	0.289758	0.226561	0.166193	0.317489	0.5999157	0.4216328	1.297548	2.76309
96	-28.12211	-49.45488	21.33278	0.367182	0.0434657	0.350181	0.239172	0.7762975	0.8890809	0.4386961	0.365687
102	-30.48712	-50.81926	20.33214	0.417457	0.209742	0.148703	0.224098	0.2087142	1.384546	1.546284	0.3619949
108	-35.84473	-51.58489	15.74017	0.249539	0.147971	0.539857	0.0626326	10.30641	1.479612	0.8532334	0.6766839
114	-25.43957	-45.37859	19.93902	0.155879	0.598326	0.0508039	0.194992	0.5238541	0.4640507	1.889336	1.003437
120	-42.69372	-61.02215	18.32843	0.234302	0.603717	0.147628	0.0143533	0.6566436	1.633391	1.829293	1.418521
126	-36.16434	-54.71834	18.554	0.184052	0.506124	0.307214	0.00260935	0.902291	0.5438035	2.232023	1.418521
132	-31.97928	-50.29139	18.31211	0.345493	0.32533	0.32428	0.00489812	1.308415	0.6352143	2.475563	0.7733109
138	-32.50044	-49.72371	17.22327	0.152784	0.366394	0.437897	0.0429253	1.216259	0.7504701	1.079035	5.57631
144	-27.22182	-46.04068	18.81886	0.0194433	0.325275	0.623605	0.0316767	1.371983	0.1520889	0.7771832	3.691491
150	-31.90644	-48.05006	16.14362	0.209935	0.45331	0.217828	0.118928	4.232324	0.1092873	1.433635	4.029075
156	-29.04396	-51.07661	22.03266	0.155538	0.366562	0.206005	0.271895	0.2875507	0.3578362	1.03629	0.2560382
162	-30.4274	-50.01835	19.59094	0.0735158	0.342936	0.444097	0.139452	0.4437981	0.7801139	0.901007	2.698717
168	-33.57571	-48.00915	14.43344	0.732051	0.168329	0.0917244	0.00789562	5.480026	0.4411454	1.204143	6.684476
174	-32.93309	-49.4472	16.51411	0.375024	0.12231	0.47316	0.0295057	4.744702	1.574666	0.3940859	1.925134
180	-34.17508	-56.1304	21.95532	0.372828	0.199803	0.05502	0.372348	0.2461587	0.1712919	0.9838132	0.6469388
186	-34.69733	-50.75737	16.06004	0.549702	0.201423	0.235181	0.0136933	4.972627	1.547951	1.821223	0.8692385
192	-30.64751	-48.98008	18.33257	0.198015	0.505316	0.286507	0.010162	0.3255	0.1784498	2.051593	3.505418
198	-29.91114	-48.00835	18.09721	0.0842458	0.570525	0.340905	0.00432344	2.284818	0.06710214	1.905536	1.720893
204	-29.80462	-48.22821	18.4236	0.0134583	0.0815922	0.873803	0.0311468	2.544666	0.6605671	1.329802	1.363724
210	-32.4514	-51.77899	19.3276	0.117408	0.536445	0.141366	0.204781	0.3579527	0.1954463	1.532909	3.002158
216	-26.99098	-46.5989	19.60792	0.122093	0.347772	0.317183	0.212952	2.849952	0.02593927	0.8203145	1.139367
222	-29.69795	-47.79165	18.0937	0.22741	0.101637	0.590784	0.0801687	2.849952	0.1166074	1.426978	2.044568
228	-26.70072	-45.72098	19.02026	0.0544301	0.271614	0.471181	0.202775	1.263545	0.1305857	2.037562	1.298462
234	-27.8291	-46.3749	18.5458	0.288864	0.0461713	0.611246	0.0537185	0.2495174	0.5798151	2.276827	2.027022
240	-26.73734	-43.78402	17.04668	0.104697	0.244876	0.426982	0.223446	2.018636	0.7197744	0.7493677	5.166005
246	-32.78618	-45.37004	12.58386	0.0473333	0.158876	0.315129	0.478661	16.67752	0.1563632	1.480662	3.959031
252	-36.05184	-52.59923	16.54739	0.00556687	0.39529	0.43387	0.165273	5.583448	0.9978024	1.480662	1.151743
258	-34.01257	-54.52045	20.50788	0.0182109	0.18866	0.314322	0.478807	0.1525981	1.062021	1.480662	0.5334998
264	-32.90705	-52.13745	19.23041	0.0297666	0.553359	0.264146	0.152728	1.305499	1.062021	1.516961	0.8546528
270	-30.991	-50.17268	19.18169	0.132841	0.209954	0.405337	0.251867	0.4991507	0.3126808	1.688431	2.508881
276	-39.46965	-56.27406	16.80441	0.0355747	0.39215	0.120567	0.451708	2.575599	1.155798	2.733214	0.1719339
282	-36.05557	-53.89368	17.83811	0.0547852	0.0611268	0.365172	0.518916	0.9435314	0.169876	3.150604	0.9495004
288	-37.01833	-56.11025	19.09192	0.2054	0.527695	0.200262	0.0666433	1.082012	0.2300748	1.956422	1.435724
294	-30.91802	-51.64212	20.72409	0.0103354	0.537318	0.338603	0.113743	0.2047593	1.21839	1.043238	0.7496885
300	-31.12726	-49.51609	18.38883	0.0848355	0.347556	0.10193	0.465678	0.9605208	1.408299	1.215058	2.266933
306	-33.40586	-51.75832	18.35246	0.331238	0.42558	0.121216	0.121966	2.332293	0.9051578	1.919032	0.5223117
312	-34.12451	-53.60201	19.47751	0.613915	0.225347	0.114918	0.0458196	1.693637	1.900703	0.368667	0.2758633
318	-37.19353	-53.56106	16.36753	0.260849	0.477722	0.030848	0.230581	1.28325	1.900703	0.9561493	5.02015
324	-33.63833	-53.82421	20.18588	0.596806	0.129537	0.0322909	0.241366	0.4336775	0.6805286	2.084885	0.1933573
330	-40.18043	-55.05981	14.87938	0.34692	0.292683	0.194836	0.165561	2.212745	1.136134	0.8814622	9.641842
336	-28.228	-46.74556	18.51756	0.137787	0.128365	0.11921	0.614638	1.683595	0.4456155	0.710081	3.297477
342	-28.86862	-45.94129	17.07267	0.200645	0.425419	0.299253	0.0746832	0.0871815	0.159489	0.7777596	10.28348
348	-34.09997	-51.46789	17.36792	0.135139	0.312655	0.441918	0.110287	2.171108	0.1754561	1.696447	3.199788
354	-25.14488	-46.70857	21.56369	0.117677	0.112269	0.60066	0.169394	0.4387746	0.9438051	0.7837373	0.2763891
360	-27.09689	-46.37112	19.27424	0.198922	0.0378486	0.332735	0.430495	3.448389	0.2292959	0.7837373	0.9464918
366	-28.53708	-47.24072	18.70364	0.158509	0.0302885	0.462115	0.349088	0.3234315	0.7502974	1.458978	3.329378
372	-27.85431	-47.73944	19.88513	0.105786	0.272831	0.463083	0.1583	1.170901	0.9996567	1.179537	0.8128206
378	-36.70952	-52.93301	16.22349	0.160266	0.584444	0.0667023	0.188587	1.463972	1.554861	0.4257003	6.486821
384	-44.75591	-57.59353	12.83762	0.0600008	0.297938	0.356567	0.285494	10.31079	0.8689179	2.398893	2.350485
390	-29.04384	-49.4471	20.40326	0.211488	0.0524109	0.347684	0.388416	0.1732136	0.8876389	1.175249	1.220459
396	-28.59217	-48.45955	19.86738	0.333853	0.26943	0.190137	0.206581	2.351167	0.486206	0.7716796	0.08070775
402	-24.69424	-46.11215	21.41791	0.237608	0.120724	0.344387	0.297281	0.11767	0.5796406	1.016628	0.1173388
408	-29.98166	-51.0047	21.02303	0.312493	0.128061	0.486818	0.0726284	1.074433	0.4878567	1.036179	0.1405992
414	-29.55625	-49.16681	19.61056	0.537548	0.144363	0.185929	0.13216	2.297102	0.358857	1.076894	0.9233053
420	-30.24248	-49.87987	19.63739	0.19786	0.0766914	0.271652	0.453797	0.4098315	0.3728861	1.675105	1.928497
426	-31.95137	-49.8904	17.93903	0.698702	0.0520379	0.148809	0.100451	3.291338	0.1894496	2.082653	0.7936888
432	-28.01841	-47.02711	19.0087	0.317946	0.0258815	0.610462	0.0457103	3.291338	0.02745172	1.492293	0.7364614
438	-35.45331	-53.15335	17.70004	0.335727	0.326493	0.280934	0.0568461	0.4532577	0.02279578	2.82517	2.596061
444	-35.82249	-52.46375	16.64126	0.286091	0.278223	0.2394	0.196286	4.83451	0.0154782	2.82517	0.2557197
450	-29.74345	-50.30484	20.56139	0.512945	0.149723	0.132158	0.205174	0.9172436	1.553666	0.4080262	0.2553973
456	-33.26482	-51.62289	18.35807	0.254966	0.330866	0.110435	0.303734	0.8354931	1.900123	1.790965	0.9646786
462	-42.5409	-52.23095	9.690057	0.0302262	0.393544	0.0367673	0.539462	0.2757369	2.286144	0.327477	57.41529
