Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
0	-27.3828	-45.91851	18.53571	0.264902	0.0334594	0.0217552	0.0467089	0.0241554	0.0282038	0.00309595	0.0145091	0.10908	0.00212742	0.196964	0.0280653	0.0697267	0.156086	0.0185514	0.0546842	0.0613388	0.1314	0.0789143	0.173146	0.391609	0.110322	0.132139	0.693928	0.0636113	1.902644	0.204061	0.412655	0.587345	0.795938	0.862376	0.930334	0.977723	1.02278	1.07488	1.15959	0.1070605	0.138803	0.0175319	0.0113992	0.0244744	0.0126569	0.0147781	0.0016222	0.00760242	0.0571553	0.00111472	0.103204	0.0147056	0.0365351	0.0817852	0.00972051	0.0286532	0.0321401	0.0688505	0.0413493	0.0907245	0.205194	1.908483	1.479497	0.173419	0.399707	0.600292	0.826581
36	-38.2709	-54.54621	16.27531	0.0569817	0.29204	0.0278689	0.0740435	0.0313147	0.073229	0.211443	0.0936778	0.02204	0.0344526	0.0360832	0.0741681	0.290992	0.12357	0.124486	0.0433231	0.0290721	0.318552	0.121713	0.216407	0.431976	0.230823	0.123488	0.256214	0.389476	2.356782	0.229138	0.422207	0.577794	0.770862	0.957125	0.978855	0.993355	1.00669	1.0216	1.0448	0.03168561	0.020892	0.107075	0.010218	0.0271477	0.0114814	0.0268491	0.0775244	0.0343465	0.00808087	0.0126319	0.0132297	0.0271933	0.106691	0.0453063	0.0456422	0.0158842	0.0106591	0.116796	0.0446255	0.0793444	0.158382	2.727435	2.4275	0.232508	0.423432	0.576568	0.767492
72	-34.19826	-53.22897	19.03071	0.0353381	0.147953	0.0213639	0.00280943	0.0292551	0.00375751	0.0108711	0.124633	0.0887213	0.00042732	0.035852	0.101462	0.00715541	0.223391	0.171327	0.0791418	0.207959	0.0200628	0.0554919	0.103239	0.0035339	0.275393	0.0179725	0.484457	0.222177	0.1028132	9.4948e-05	0.119516	0.880483	0.999905	0.621452	0.792948	0.930178	1.07506	1.26112	1.60913	0.3439611	0.0239784	0.100392	0.0144963	0.00190632	0.0198508	0.00254963	0.00737648	0.0845691	0.0602012	0.000289955	0.0243271	0.0688465	0.00485525	0.15158	0.116253	0.0537011	0.141109	0.0136134	0.0376536	0.0700521	0.0023979	1.473747	2.972938	0.25492	0.431279	0.568721	0.74508
108	-28.49518	-47.32341	18.82823	0.00278604	0.272694	0.0198909	0.086544	0.0733884	0.0274134	0.000192268	0.238956	0.0490122	0.0137201	0.126341	0.106861	0.22831	0.0685479	0.00789923	0.0737592	0.102944	0.0344806	0.0985899	0.0685712	0.153632	0.114681	0.110026	0.293676	0.481616	1.125063	0.139475	0.383087	0.616913	0.860525	0.762519	0.87614	0.959586	1.04212	1.14137	1.31144	0.1960442	0.00150228	0.147042	0.0107255	0.0466662	0.0395724	0.0147818	0.000103675	0.12885	0.0264283	0.00739814	0.0681256	0.0576215	0.123109	0.0369623	0.00425942	0.0397724	0.0555093	0.0185926	0.0531616	0.0369749	0.0828416	1.854534	1.931477	0.205859	0.413368	0.586632	0.794141
144	-29.19618	-48.2026	19.00642	0.231345	0.43702	0.00686368	0.022707	0.0749576	0.0240465	0.000537564	0.0537855	0.068028	0.0958394	0.138167	0.0124146	0.132411	0.103341	0.0492419	0.0847064	0.0609589	0.00904327	0.00837764	0.110016	0.450221	0.089161	0.28314	0.502485	0.125214	0.1814578	0.00264094	0.185628	0.814372	0.997359	0.987259	0.993766	0.998051	1.00195	1.00627	1.01291	0.009271694	0.106413	0.201019	0.00315713	0.0104447	0.0344786	0.0110608	0.000247266	0.02474	0.0312912	0.0440838	0.0635534	0.00571043	0.0609057	0.0475343	0.0226501	0.0389628	0.0280396	0.00415968	0.00385351	0.0506049	0.207091	2.17403	2.348915	0.228755	0.422067	0.577933	0.771245
180	-32.90408	-53.27053	20.36644	0.0894961	0.210328	0.0162551	0.0701521	0.00586412	0.0249184	0.0030433	0.0120277	0.00185054	0.00943517	0.125332	0.0125369	0.0612333	0.00538415	0.0978913	0.0159812	0.0278121	0.0333637	0.00437858	0.0016185	0.0403272	0.210727	0.0947489	0.260772	0.433752	1.785182	0.196396	0.409563	0.590437	0.803603	0.771833	0.881343	0.96136	1.04019	1.13463	1.29562	0.1872658	0.10296	0.24197	0.0187006	0.0807061	0.00674634	0.0286672	0.00350114	0.0138372	0.00212894	0.0108546	0.144188	0.014423	0.0704455	0.00619417	0.112619	0.0183854	0.0319963	0.0383831	0.00503732	0.001862	0.0463942	0.869229	0.9211819	0.115061	0.368999	0.631001	0.88494
216	-29.48157	-47.13358	17.65201	0.0287265	0.108786	0.0186358	0.0192552	0.0893402	0.0456224	0.0709278	0.0521157	0.081534	0.0288105	0.0815555	0.0187269	0.0236815	0.11968	0.0845086	0.0640678	0.0100196	0.00999981	0.0167545	0.0377022	0.166572	0.327806	0.149419	0.135521	0.387254	7.216849	0.336891	0.456696	0.543304	0.663109	0.494517	0.709335	0.898397	1.11309	1.40977	2.02218	0.5091661	0.0244061	0.0924248	0.015833	0.0163592	0.0759036	0.0387609	0.0602604	0.0442775	0.0692714	0.0244775	0.0692897	0.0159104	0.0201198	0.10168	0.0717986	0.0544321	0.00851269	0.00849585	0.0142346	0.0320318	0.14152	1.177023	0.2462001	0.00863886	0.226102	0.773898	0.991361
252	-32.81058	-50.0868	17.27622	0.0853324	0.0546173	0.0970327	0.0825985	0.0359851	0.0180955	0.00596323	0.0504093	0.0273173	0.00849433	0.0547301	0.117697	0.0212183	0.0178538	0.00948681	0.00684833	0.0100708	0.0745293	0.327356	0.198385	0.0400499	0.0178975	0.0294631	0.321987	0.630653	3.460558	0.270859	0.43658	0.56342	0.729141	0.903507	0.951717	0.984679	1.01556	1.05073	1.1068	0.07337079	0.0634881	0.0406357	0.0721932	0.061454	0.0267733	0.0134632	0.00443669	0.037505	0.0203243	0.00631985	0.0407196	0.0875676	0.0157866	0.0132834	0.00705827	0.00509522	0.00749276	0.0554504	0.243556	0.1476	0.0297975	1.34407	2.960431	0.254466	0.431126	0.568875	0.745533
288	-30.09961	-46.62534	16.52573	0.0465714	0.188466	0.073526	0.00370432	0.0887396	0.0206656	0.00318458	0.06059	0.00333829	0.00981374	0.0177911	0.0300153	0.0445866	0.00751409	0.034996	0.000768931	0.000742436	0.0446659	0.258293	0.112791	0.0912907	0.135773	0.35438	0.0884222	0.421425	4.958174	0.305479	0.447444	0.552556	0.694522	0.549455	0.746731	0.912913	1.09539	1.33917	1.81998	0.432994	0.0407786	0.165024	0.0643805	0.00324356	0.0777017	0.0180951	0.00278847	0.0530535	0.00292306	0.00859306	0.0155781	0.0262818	0.0390407	0.00657945	0.030643	0.000673288	0.000650088	0.0391101	0.226166	0.0987612	0.0799355	1.142055	2.800827	0.248457	0.429067	0.570933	0.751544
324	-24.19924	-45.6245	21.42525	0.00146873	0.102135	0.0193009	0.0192698	0.144898	0.0167834	0.0142698	0.0469055	1.11691e-05	0.0608931	0.172027	0.0909406	0.0301672	0.0175926	0.110522	0.00507341	0.0408521	0.0980545	0.110824	0.0262473	0.0293318	0.0170565	0.215143	0.345267	0.422533	0.3852965	0.02969	0.283763	0.716238	0.97031	0.808391	0.901461	0.968154	1.03289	1.10931	1.23702	0.1538032	0.00126881	0.0882322	0.0166736	0.0166468	0.125174	0.0144988	0.0123274	0.0405207	9.64875e-06	0.0526043	0.148611	0.0785618	0.0260608	0.0151979	0.0954781	0.00438281	0.0352913	0.0847073	0.0957384	0.0226745	0.0253392	1.157568	0.9308376	0.116314	0.369779	0.630221	0.883686
