Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	neo_beta_cats[1]	neo_beta_cats[2]	neo_beta_cats[3]	neo_beta_cats[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length	two_beta	two_beta_cats[1]	two_beta_cats[2]	two_beta_cats[3]	two_beta_cats[4]
576	-28.3789	-49.86739	21.48849	0.0927578	0.060056	0.0651567	0.150847	0.112721	0.0175535	0.0246629	0.17385	0.0472712	0.0336541	0.133297	0.0297631	0.153656	0.0352568	0.0331117	0.0513894	0.0214302	0.0269365	0.179339	0.0588663	0.0271003	0.054657	0.022128	0.57184	0.351375	0.451922	0.0413519	0.302406	0.697594	0.958648	0.946267	0.973424	0.991632	1.00844	1.0273	1.05678	0.03993529	0.0606785	0.0392863	0.0426229	0.098678	0.0737377	0.0114828	0.0161335	0.113726	0.0309229	0.0220152	0.087198	0.0194699	0.100515	0.0230636	0.0216604	0.0336169	0.0140188	0.0176208	0.117316	0.038508	0.0177279	1.528676	0.4769149	0.0457703	0.308402	0.691598	0.95423
612	-27.63797	-48.18816	20.55018	0.0391996	0.00521342	0.00620272	0.00532173	0.080118	0.00949967	0.00440776	0.123589	0.00390745	0.0192338	0.189558	0.0541412	0.00759098	0.136525	0.0135987	0.013341	0.00462369	0.0087171	0.112226	0.238367	0.0162186	0.182434	0.55767	0.0344756	0.22542	0.4770409	0.0457926	0.308431	0.691569	0.954208	0.143084	0.387418	0.743909	1.34425	2.58119	6.98888	1.405878	0.0359102	0.00477594	0.00568222	0.00487517	0.0733949	0.00870252	0.00403789	0.113218	0.00357956	0.0176198	0.173651	0.049598	0.00695399	0.125069	0.0124576	0.0122215	0.0042357	0.00798562	0.102809	0.218365	0.0148576	1.091601	0.5618812	0.0606156	0.325691	0.674309	0.939385
648	-25.43415	-45.14035	19.7062	0.0811246	0.0103879	0.00913625	0.00830359	0.0149994	0.00832589	0.00276687	0.0209478	0.00842462	0.0196669	0.00314361	0.0310901	0.0890617	0.0934229	0.00202428	0.0239769	0.0195647	0.0266746	0.0350852	0.0575581	0.0123062	0.476804	0.126795	0.353965	0.0424362	0.08278207	1.56363e-05	0.0993851	0.900615	0.999984	0.285083	0.542236	0.826174	1.2104	1.84422	3.50775	0.9074325	0.140356	0.0179724	0.0158069	0.0143663	0.0259508	0.0144048	0.00478704	0.0362424	0.0145757	0.0340262	0.00543884	0.0537898	0.154088	0.161634	0.00350226	0.0414831	0.0338494	0.0461505	0.0607018	0.0995829	0.0212913	0.5779921	2.151287	0.218589	0.418286	0.581713	0.781412
684	-22.95486	-43.73185	20.77699	0.114703	0.134473	0.0147689	0.00135916	0.107138	0.0182323	0.00165177	0.073202	0.0336597	0.0226344	0.0315116	0.0841123	0.0892928	0.117943	0.00570578	0.0966181	0.147588	0.295183	0.0812468	0.110823	0.0445562	0.197893	0.267851	0.476854	0.0574018	0.9873143	0.123445	0.374087	0.625913	0.876555	0.751814	0.870119	0.957524	1.04436	1.14927	1.33012	0.206267	0.0705254	0.082681	0.00908071	0.000835682	0.0658745	0.0112102	0.00101559	0.0450085	0.0206958	0.0139169	0.0193751	0.0517168	0.0549021	0.0725175	0.00350822	0.059406	0.0907449	0.181495	0.0499549	0.06814	0.0273956	1.626402	0.2889018	0.0142445	0.247323	0.752677	0.985755
720	-26.46362	-44.30861	17.84498	0.0673343	0.123712	0.014605	0.0332246	0.0560057	0.0357339	0.0142725	0.0349245	0.00704481	0.00701901	0.159878	0.0450518	0.0374697	0.00903953	0.0689577	0.0328347	0.0123264	0.0443574	0.101003	0.0116764	0.139202	0.243421	0.343237	0.25776	0.155582	7.041536	0.334977	0.456146	0.543854	0.665022	0.51545	0.723824	0.904082	1.10609	1.38155	1.94005	0.4791881	0.0637833	0.117188	0.0138348	0.0314725	0.0530522	0.0338494	0.0135198	0.0330827	0.00667329	0.00664885	0.151446	0.0426759	0.0354936	0.00856282	0.0653211	0.0311031	0.0116764	0.0420181	0.0956761	0.0110607	0.131861	1.055672	0.1880478	0.00308798	0.190276	0.809724	0.996912
756	-36.03092	-54.07208	18.04117	0.036212	0.199158	0.0198166	0.25004	0.0849951	0.0719662	0.101423	0.0954594	0.00681676	0.0183522	0.392386	0.245687	0.00127069	0.0522355	0.0350378	0.045507	0.286735	0.0305039	0.0340319	0.201275	0.180227	0.197336	0.614559	0.0667254	0.12138	0.8998081	0.112248	0.367225	0.632775	0.887752	0.349583	0.598947	0.852215	1.17341	1.6696	2.86055	0.7599564	0.0151569	0.08336	0.00829446	0.104657	0.0355756	0.0301223	0.0424517	0.0399556	0.00285323	0.0076815	0.164237	0.102835	0.000531862	0.0218638	0.0146655	0.0190475	0.120016	0.0127678	0.0142444	0.084246	0.0754361	2.389136	1.479078	0.173384	0.399692	0.600308	0.826616
792	-34.02031	-50.70839	16.68808	0.0988955	0.203103	0.0242401	0.0994363	0.0494585	0.15585	0.0134975	0.257647	0.00544803	0.0469766	0.445753	0.213031	0.124961	0.170132	0.0900731	0.0207549	0.0798461	0.0960643	0.00769255	0.00514566	0.0291095	0.0830368	0.00709575	0.89391	0.0159578	1.013246	0.126606	0.375933	0.624066	0.873394	0.867992	0.933284	0.978689	1.02177	1.07149	1.15208	0.1023673	0.0442067	0.0907878	0.0108354	0.0444484	0.0221082	0.0696655	0.00603345	0.115169	0.00243529	0.0209988	0.199253	0.0952257	0.0558583	0.0760498	0.040263	0.00927755	0.0356916	0.0429412	0.0034386	0.00230013	0.0130121	2.237115	5.077274	0.307607	0.448086	0.551914	0.692393
828	-30.55048	-50.28371	19.73323	0.0462759	0.105721	0.00279117	0.0111917	0.125051	0.120806	0.0482641	0.069479	0.0478722	0.017567	0.0402352	0.0992352	0.00443548	0.00628965	0.0156536	0.159319	0.0409195	0.0139802	0.236772	0.00463777	0.05928	0.303392	0.113353	0.282475	0.30078	0.1678798	0.00184381	0.175637	0.824363	0.998156	0.976431	0.988435	0.996378	1.00364	1.0117	1.02414	0.01724593	0.0362727	0.0828683	0.00218782	0.00877248	0.0980194	0.0946921	0.0378311	0.0544602	0.0375239	0.0137697	0.0315378	0.0777841	0.00347669	0.00493006	0.0122699	0.12488	0.0320742	0.0109582	0.18559	0.00363525	0.0464658	1.275777	3.153258	0.26119	0.433389	0.56661	0.738811
864	-32.22182	-49.62674	17.40492	0.00378548	0.00246423	0.00159582	0.005417	0.023258	0.00146792	0.00044846	6.6012e-05	0.0048228	0.00191007	0.00263962	0.00597798	0.0014141	0.000493545	0.00314558	0.0136689	0.00324142	0.00501447	0.00737334	0.00462568	0.00829892	0.107153	0.706492	0.033217	0.153138	1.259392	0.153454	0.390282	0.609718	0.846547	0.0345005	0.193595	0.599134	1.66908	5.16543	28.9851	2.434415	0.037432	0.0243671	0.01578	0.053565	0.229982	0.0145153	0.00443452	0.000652748	0.0476894	0.0188874	0.0261014	0.0591122	0.0139831	0.00488033	0.0311045	0.135163	0.0320522	0.0495847	0.07291	0.0457403	0.0820624	0.1011294	1.506933	0.175686	0.400723	0.599277	0.824314
900	-36.14739	-53.12264	16.97525	0.157368	0.193399	0.0389331	0.160952	0.158502	0.0100222	0.0303788	0.0179509	0.210705	0.022955	0.16765	0.139296	0.0352037	0.046525	0.0107523	0.0416514	0.00615397	0.00693187	0.116041	0.0872336	0.0227855	0.138877	0.192133	0.537719	0.131271	3.329516	0.26688	0.435276	0.564724	0.73312	0.963711	0.982134	0.994392	1.00564	1.01819	1.03766	0.02672715	0.093594	0.115023	0.0231553	0.0957257	0.0942682	0.00596063	0.0180677	0.0106762	0.125316	0.0136524	0.0997091	0.0828458	0.0209373	0.0276705	0.00639491	0.024772	0.00366005	0.0041227	0.0690151	0.0518818	0.0135516	1.681391	2.910433	0.25263	0.4305	0.5695	0.74737
